Player,DK Pos,Team,Opp,DK Salary,DK Proj,DK Value,OWN_FRAC,DK Floor,DK Ceiling,LEVERAGE_SCORE,VALUE_PER_1k,CEILING_PCT_RANK,OWNERSHIP_PCT_RANK,leverage_delta,id
Mason Rudolph,QB,PIT,@CHI,"$4,700.00",16.3,1.7,0.01,8.2,25.7,25.3916,$3.47,85.37%,62%,23.4%,40835381
Tyjae Spears,RB,TEN,SEA,"$4,700.00",9.2,-3.2,0.01,3.3,17.1,16.997400000000003,$1.96,66.67%,53%,13.7%,40835512
Christian Watson,WR,GB,MIN,"$4,600.00",10.2,-1.9,0.06,2.2,20.9,19.708699999999997,$2.22,75.85%,80%,-4.2%,40835758
Bhayshul Tuten,RB,JAX,@ARI,"$4,600.00",10.4,-1.8,0.05,3.0,20.6,19.6112,$2.26,75.17%,78%,-2.8%,40835500
Jameis Winston,QB,NYG,@DET,"$4,600.00",16.0,1.6,0.05,7.9,25.6,24.3456,$3.48,84.69%,78%,6.7%,40835382
Isaiah Davis,RB,NYJ,@BAL,"$4,600.00",6.0,-6.1,0.0,1.4,12.5,12.475,$1.30,50.34%,43%,7.3%,40835514
Rashid Shaheed,WR,SEA,@TEN,"$4,600.00",7.8,-4.3,0.0,1.3,17.2,17.1312,$1.70,67.35%,50%,17.3%,40835756
Tyler Allgeier,RB,ATL,@NO,"$4,500.00",6.5,-5.4,0.0,1.5,14.1,14.0718,$1.44,56.80%,43%,13.8%,40835504
Josh Downs,WR,IND,@KC,"$4,500.00",8.6,-3.4,0.01,2.5,16.7,16.583099999999998,$1.91,65.99%,56%,10.0%,40835762
Geno Smith,QB,LV,CLE,"$4,500.00",14.6,0.5,0.02,7.1,23.3,22.9039,$3.24,79.59%,65%,14.6%,40835383
Darius Slayton,WR,NYG,@DET,"$4,500.00",10.0,-1.9,0.03,2.4,20.1,19.4568,$2.22,74.83%,73%,1.8%,40835760
Tank Bigsby,RB,PHI,@DAL,"$4,500.00",2.3,-9.6,0.0,0.0,6.9,6.9,$0.51,32.31%,0%,32.3%,40835510
Cam Ward,QB,TEN,SEA,"$4,500.00",11.8,-2.3,0.0,5.4,19.6,19.5608,$2.62,73.13%,43%,30.1%,40835384
Michael Carter,RB,ARI,JAX,"$4,400.00",7.4,-4.4,0.01,1.9,15.0,14.85,$1.68,59.86%,59%,0.9%,40835518
Kirk Cousins,QB,ATL,@NO,"$4,400.00",12.8,-1.0,0.01,5.9,20.9,20.670099999999998,$2.91,75.85%,61%,14.8%,40835385
Tyler Shough,QB,NO,ATL,"$4,400.00",14.6,0.8,0.03,7.5,24.1,23.4493,$3.32,80.95%,71%,10.0%,40835386
