Player,DK Pos,Team,Opp,DK Salary,DK Proj,DK Value,OWN_FRAC,DK Floor,DK Ceiling,LEVERAGE_SCORE,VALUE_PER_1k,CEILING_PCT_RANK,OWNERSHIP_PCT_RANK,leverage_delta,id
Noah Gray,TE,KC,IND,"$2,500.00",4.0,-4.0,0.0,0.2,9.7,9.690299999999999,$1.60,39.12%,37%,2.1%,40836256
Carter Runyon,TE,LV,CLE,"$2,500.00",0.1,-7.9,0.0,0.0,0.5,0.5,$0.04,5.10%,0%,5.1%,40836214
Ian Thomas,TE,LV,CLE,"$2,500.00",0.5,-7.5,0.0,0.0,1.9,1.9,$0.20,17.69%,0%,17.7%,40836212
Ben Yurosek,TE,MIN,@GB,"$2,500.00",0.1,-7.9,0.0,0.0,0.5,0.5,$0.04,5.10%,0%,5.1%,40836280
Josh Oliver,TE,MIN,@GB,"$2,500.00",1.5,-6.5,0.0,0.0,4.7,4.7,$0.60,25.85%,0%,25.9%,40836278
CJ Dippre,TE,NE,@CIN,"$2,500.00",0.1,-7.8,0.0,0.0,0.6,0.6,$0.04,8.50%,0%,8.5%,40836320
Austin Hooper,TE,NE,@CIN,"$2,500.00",3.8,-4.2,0.0,0.0,9.9,9.8901,$1.52,39.46%,37%,2.5%,40836318
Foster Moreau,TE,NO,ATL,"$2,500.00",3.7,-4.3,0.0,0.0,9.3,9.290700000000001,$1.48,38.10%,37%,1.1%,40836170
Zaire Mitchell-Paden,TE,NO,ATL,"$2,500.00",0.1,-7.8,0.0,0.0,0.5,0.5,$0.04,5.10%,0%,5.1%,40836174
Chris Manhertz,TE,NYG,@DET,"$2,500.00",0.1,-7.8,0.0,0.0,0.6,0.6,$0.04,8.50%,0%,8.5%,40836304
Daniel Bellinger,TE,NYG,@DET,"$2,500.00",3.2,-4.8,0.0,0.0,8.0,7.992,$1.28,35.03%,37%,-2.0%,40836302
Jeremy Ruckert,TE,NYJ,@BAL,"$2,500.00",2.5,-5.4,0.0,0.0,6.2,6.1938,$1.00,30.95%,37%,-6.1%,40836350
Grant Calcaterra,TE,PHI,@DAL,"$2,500.00",1.3,-6.7,0.0,0.0,4.3,4.3,$0.52,24.83%,0%,24.8%,40836192
Kylen Granson,TE,PHI,@DAL,"$2,500.00",0.8,-7.2,0.0,0.0,3.0,3.0,$0.32,21.77%,0%,21.8%,40836194
Cameron Latu,TE,PHI,@DAL,"$2,500.00",0.1,-7.9,0.0,0.0,0.5,0.5,$0.04,5.10%,0%,5.1%,40836196
Connor Heyward,TE,PIT,@CHI,"$2,500.00",0.6,-7.4,0.0,0.0,2.4,2.4,$0.24,20.07%,0%,20.1%,40836334
Elijah Arroyo,TE,SEA,@TEN,"$2,500.00",4.4,-3.6,0.0,0.2,10.4,10.3896,$1.76,41.84%,37%,4.8%,40836244
Nick Kallerup,TE,SEA,@TEN,"$2,500.00",0.1,-7.8,0.0,0.0,0.6,0.6,$0.04,8.50%,0%,8.5%,40836246
David Martin-Robinson,TE,TEN,SEA,"$2,500.00",0.1,-7.8,0.0,0.0,0.6,0.6,$0.04,8.50%,0%,8.5%,40836252
Vikings ,DST,MIN,@GB,"$2,500.00",5.1,-0.9,0.03,-0.2,11.7,11.3256,$2.04,46.60%,73%,-26.4%,40836372
Saints ,DST,NO,ATL,"$2,500.00",6.8,0.9,0.13,1.3,13.8,11.9646,$2.72,55.78%,95%,-39.2%,40836371
Colts ,DST,IND,@KC,"$2,400.00",4.9,-0.9,0.03,-0.6,11.6,11.263599999999999,$2.04,45.92%,72%,-26.1%,40836373
Titans ,DST,TEN,SEA,"$2,300.00",3.8,-1.8,0.02,-1.4,10.1,9.9384,$1.65,40.82%,65%,-24.2%,40836374
Bengals ,DST,CIN,NE,"$2,200.00",5.0,-0.4,0.03,-0.7,11.7,11.372399999999999,$2.27,46.60%,71%,-24.4%,40836375
Giants ,DST,NYG,@DET,"$2,100.00",2.7,-2.5,0.01,-2.3,8.8,8.7384,$1.29,37.41%,56%,-18.6%,40836376
Jets ,DST,NYJ,@BAL,"$2,000.00",3.8,-1.2,0.02,-1.6,10.1,9.918199999999999,$1.90,40.82%,66%,-25.2%,40836377
